id,split,company,method,human_label,prediction,status,candidate_sha256
financebench_id_00215,development,Verizon,operational_v3,correct,correct,ok,43cce23c0df3d545f6c2e25136fffcdee54e316d42c40f0484937b36cdd3d0a2
financebench_id_00215,new_response_validation,Verizon,holistic_v2,correct,correct,ok,78910d9dd0782241d152f560ac517dbe3d89a802bb646b2707eeddc1fae80886
financebench_id_00215,new_response_validation,Verizon,operational_v3,correct,correct,ok,78910d9dd0782241d152f560ac517dbe3d89a802bb646b2707eeddc1fae80886
financebench_id_00222,development,AMD,holistic_v2,correct,correct,ok,be276834767d6067111cb04b472895454b17e688327d794b66fa859f53f18f80
financebench_id_00216,development,Verizon,operational_v3,refusal,refusal,ok,d8cc105e7cd58564cae29bd1f241f306dcd00386ff4b1cc0ff9f0c1b1b60c221
financebench_id_00216,new_response_validation,Verizon,holistic_v2,correct,incorrect,ok,b8350c245dc9e3c3eba10ae92ed2e5eef2a388d36136300daf6f430f6df492b3
financebench_id_00216,new_response_validation,Verizon,operational_v3,correct,incorrect,ok,b8350c245dc9e3c3eba10ae92ed2e5eef2a388d36136300daf6f430f6df492b3
financebench_id_00283,development,Pfizer,holistic_v2,incorrect,refusal,ok,63a4ddd7e52d66b9c0414f9cebf8987401079df34c7fc4fb0ab324d225d2ec12
financebench_id_00222,development,AMD,operational_v3,correct,correct,ok,be276834767d6067111cb04b472895454b17e688327d794b66fa859f53f18f80
financebench_id_00222,new_response_validation,AMD,holistic_v2,refusal,refusal,ok,a83d2d940f0b019b5b091106386c9f08889a63d8eb62a8ab10dfe42bddc88b0b
financebench_id_00222,new_response_validation,AMD,operational_v3,refusal,refusal,ok,a83d2d940f0b019b5b091106386c9f08889a63d8eb62a8ab10dfe42bddc88b0b
financebench_id_00288,development,Best Buy,holistic_v2,correct,correct,ok,998a1746640ed831b9408b555c084eb063dd566f077b1655d7eb10f4086ced30
financebench_id_00283,development,Pfizer,operational_v3,incorrect,incorrect,ok,63a4ddd7e52d66b9c0414f9cebf8987401079df34c7fc4fb0ab324d225d2ec12
financebench_id_00283,new_response_validation,Pfizer,holistic_v2,incorrect,incorrect,ok,bc59288c509556c35da504a469fef2fa28a1ac2e604f008c83066d13910ed3a8
financebench_id_00283,new_response_validation,Pfizer,operational_v3,incorrect,incorrect,ok,bc59288c509556c35da504a469fef2fa28a1ac2e604f008c83066d13910ed3a8
financebench_id_00299,development,JPMorgan,holistic_v2,correct,correct,ok,4c1caf9a3d7927ca4ab4d17d691e94db372b6e26083704b6683845036ce77b01
financebench_id_00288,development,Best Buy,operational_v3,correct,correct,ok,998a1746640ed831b9408b555c084eb063dd566f077b1655d7eb10f4086ced30
financebench_id_00288,new_response_validation,Best Buy,holistic_v2,correct,refusal,ok,3b6e780a3e005c893ee3e2bf0c371a6d4162383f329d7184f990b15a46b08a53
financebench_id_00288,new_response_validation,Best Buy,operational_v3,correct,correct,ok,3b6e780a3e005c893ee3e2bf0c371a6d4162383f329d7184f990b15a46b08a53
financebench_id_00302,development,Pfizer,holistic_v2,correct,correct,ok,ac3d04d48db39f70eccf70baaa65a810d37566f034d52f789c80b441b93c817e
financebench_id_00299,development,JPMorgan,operational_v3,correct,correct,ok,4c1caf9a3d7927ca4ab4d17d691e94db372b6e26083704b6683845036ce77b01
financebench_id_00299,new_response_validation,JPMorgan,holistic_v2,refusal,refusal,ok,6bd2d5f22f5e7c383ab3abd9c09caa2a3698776683887a0e18a7c818a3a8278b
financebench_id_00299,new_response_validation,JPMorgan,operational_v3,refusal,refusal,ok,6bd2d5f22f5e7c383ab3abd9c09caa2a3698776683887a0e18a7c818a3a8278b
financebench_id_00382,development,MGM Resorts,holistic_v2,correct,correct,ok,b57d4ee9fafe1d8fd008e4717d33365bfb2864ee3a51fa6a44d3462c785a4ade
financebench_id_00302,development,Pfizer,operational_v3,correct,correct,ok,ac3d04d48db39f70eccf70baaa65a810d37566f034d52f789c80b441b93c817e
financebench_id_00302,new_response_validation,Pfizer,holistic_v2,refusal,refusal,ok,53cb3d583c9faa9b88fed48da388085984968bb76b62e3299bf1024c76618bf4
financebench_id_00302,new_response_validation,Pfizer,operational_v3,refusal,refusal,ok,53cb3d583c9faa9b88fed48da388085984968bb76b62e3299bf1024c76618bf4
financebench_id_00394,development,JPMorgan,holistic_v2,refusal,refusal,ok,984b6079b0942ef11686d7618e62bd52fa16fa58d7a8bf7e82b47c38277d4d6b
financebench_id_00382,development,MGM Resorts,operational_v3,correct,correct,ok,b57d4ee9fafe1d8fd008e4717d33365bfb2864ee3a51fa6a44d3462c785a4ade
financebench_id_00382,new_response_validation,MGM Resorts,holistic_v2,correct,correct,ok,38d87db5262ebcdf21bc624550b2aef69ce0ae7879844e2264e0395339756cf8
financebench_id_00382,new_response_validation,MGM Resorts,operational_v3,correct,correct,ok,38d87db5262ebcdf21bc624550b2aef69ce0ae7879844e2264e0395339756cf8
financebench_id_00407,development,MGM Resorts,holistic_v2,refusal,refusal,ok,9a1153d8b359fa319e89b4f3d77cdda865b92e45ca52924431fee5dec35b7a38
financebench_id_00394,development,JPMorgan,operational_v3,refusal,refusal,ok,984b6079b0942ef11686d7618e62bd52fa16fa58d7a8bf7e82b47c38277d4d6b
financebench_id_00394,new_response_validation,JPMorgan,holistic_v2,correct,incorrect,ok,e46b590488d476c1dfb51fca56b7ecc74864dce012ece65579da514318c2ffc5
financebench_id_00394,new_response_validation,JPMorgan,operational_v3,correct,incorrect,ok,e46b590488d476c1dfb51fca56b7ecc74864dce012ece65579da514318c2ffc5
financebench_id_00438,development,Adobe,holistic_v2,correct,correct,ok,5bc1db2a60e8ed0c65df55b59d2c029c6c87027bff496a4945360e49a28fc89c
financebench_id_00407,development,MGM Resorts,operational_v3,refusal,refusal,ok,9a1153d8b359fa319e89b4f3d77cdda865b92e45ca52924431fee5dec35b7a38
financebench_id_00407,new_response_validation,MGM Resorts,holistic_v2,refusal,refusal,ok,c105a3101c9304d9e23d7a1b86bc8fee95c6eb51a0e4c97ecc8b8ee6febdfcb0
financebench_id_00407,new_response_validation,MGM Resorts,operational_v3,refusal,refusal,ok,c105a3101c9304d9e23d7a1b86bc8fee95c6eb51a0e4c97ecc8b8ee6febdfcb0
financebench_id_00460,development,Best Buy,holistic_v2,incorrect,incorrect,ok,aeea948243f8a36578937863422f3c265c19dfe324f903a4fc4f96c5711f3859
financebench_id_00438,development,Adobe,operational_v3,correct,correct,ok,5bc1db2a60e8ed0c65df55b59d2c029c6c87027bff496a4945360e49a28fc89c
financebench_id_00438,new_response_validation,Adobe,holistic_v2,incorrect,incorrect,ok,19ca444dcd374b590a882edaf48d622d0599a80e4d412ae4cdc80aeb08aff3c1
financebench_id_00438,new_response_validation,Adobe,operational_v3,incorrect,incorrect,ok,19ca444dcd374b590a882edaf48d622d0599a80e4d412ae4cdc80aeb08aff3c1
financebench_id_00464,development,Boeing,holistic_v2,incorrect,refusal,ok,3922dd16561b663de55d42727b47a63096cf2a71f0a4255039b16081901d253e
financebench_id_00460,development,Best Buy,operational_v3,incorrect,incorrect,ok,aeea948243f8a36578937863422f3c265c19dfe324f903a4fc4f96c5711f3859
financebench_id_00460,new_response_validation,Best Buy,holistic_v2,incorrect,incorrect,ok,2b5a6da552ffb1c4ac7996308517a37541970e02c2337bb29c1eee889b9386ab
financebench_id_00460,new_response_validation,Best Buy,operational_v3,incorrect,incorrect,ok,2b5a6da552ffb1c4ac7996308517a37541970e02c2337bb29c1eee889b9386ab
financebench_id_00476,development,American Express,holistic_v2,incorrect,refusal,ok,c963467d3e55fc121c5607e8fb6a51dc569a2d6c5dd237e6c7cc88caa666783e
financebench_id_00464,development,Boeing,operational_v3,incorrect,incorrect,ok,3922dd16561b663de55d42727b47a63096cf2a71f0a4255039b16081901d253e
financebench_id_00464,new_response_validation,Boeing,holistic_v2,correct,correct,ok,ef296a70d65f10967764690947123755a46794219ebee72ec474f8e3b6d47bf7
financebench_id_00464,new_response_validation,Boeing,operational_v3,correct,correct,ok,ef296a70d65f10967764690947123755a46794219ebee72ec474f8e3b6d47bf7
financebench_id_00494,development,Boeing,holistic_v2,incorrect,refusal,ok,0646263c3b181bc5edd72515ea2b92720a28657d4667ff9334f17ba2311ede69
financebench_id_00476,development,American Express,operational_v3,incorrect,incorrect,ok,c963467d3e55fc121c5607e8fb6a51dc569a2d6c5dd237e6c7cc88caa666783e
financebench_id_00476,new_response_validation,American Express,holistic_v2,refusal,refusal,ok,c431ac7df58e8fe770f21e4652ce158903f75bdf49dde5c654bc13172921ebb0
financebench_id_00476,new_response_validation,American Express,operational_v3,refusal,refusal,ok,c431ac7df58e8fe770f21e4652ce158903f75bdf49dde5c654bc13172921ebb0
financebench_id_00499,development,3M,holistic_v2,refusal,refusal,ok,e25b399f98d3c5b8f1f6298d91b85fcaedabd152de7365187b6abb0036c0bdd9
financebench_id_00494,development,Boeing,operational_v3,incorrect,incorrect,ok,0646263c3b181bc5edd72515ea2b92720a28657d4667ff9334f17ba2311ede69
financebench_id_00494,new_response_validation,Boeing,holistic_v2,correct,correct,ok,db4de9352862079d30a2a7b87e6c67dc2d5846cdb5772bc93e3db77bcbd3a97e
financebench_id_00494,new_response_validation,Boeing,operational_v3,correct,correct,ok,db4de9352862079d30a2a7b87e6c67dc2d5846cdb5772bc93e3db77bcbd3a97e
financebench_id_00517,development,Boeing,holistic_v2,incorrect,refusal,ok,06d2c3128adc4f43bd92b13f565e21694a4bb8ceff392fdcd69d0f6834f85bad
financebench_id_00499,development,3M,operational_v3,refusal,refusal,ok,e25b399f98d3c5b8f1f6298d91b85fcaedabd152de7365187b6abb0036c0bdd9
financebench_id_00499,new_response_validation,3M,holistic_v2,incorrect,refusal,ok,6fa78ff2fa9283d904d754ed38e88cae4ff43b3434abe3c02cd78caeb0c40180
financebench_id_00499,new_response_validation,3M,operational_v3,incorrect,incorrect,ok,6fa78ff2fa9283d904d754ed38e88cae4ff43b3434abe3c02cd78caeb0c40180
financebench_id_00521,development,Ulta Beauty,holistic_v2,incorrect,refusal,ok,37b678dabc39f7e108fa5c56b8b4065b1fa37f79386c4ffa0e7a1cd06c466c54
financebench_id_00517,development,Boeing,operational_v3,incorrect,incorrect,ok,06d2c3128adc4f43bd92b13f565e21694a4bb8ceff392fdcd69d0f6834f85bad
financebench_id_00517,new_response_validation,Boeing,holistic_v2,correct,correct,ok,afb98cf01fb0731d53faa1a9f11f25105f7a39a35c041d4e9ed19b9c34951cd4
financebench_id_00517,new_response_validation,Boeing,operational_v3,correct,correct,ok,afb98cf01fb0731d53faa1a9f11f25105f7a39a35c041d4e9ed19b9c34951cd4
financebench_id_00540,development,AES Corporation,holistic_v2,refusal,refusal,ok,1689813b3f99fed7e3b0d9fd51ae2e6fd300beecc126884e675085bfaa8d387f
financebench_id_00521,development,Ulta Beauty,operational_v3,incorrect,incorrect,ok,37b678dabc39f7e108fa5c56b8b4065b1fa37f79386c4ffa0e7a1cd06c466c54
financebench_id_00521,new_response_validation,Ulta Beauty,holistic_v2,correct,correct,ok,077191b65483b55d3b27cbebd4149870bea48e54c609b70d9e92d4242c509ee0
financebench_id_00521,new_response_validation,Ulta Beauty,operational_v3,correct,correct,ok,077191b65483b55d3b27cbebd4149870bea48e54c609b70d9e92d4242c509ee0
financebench_id_00552,development,Microsoft,holistic_v2,incorrect,refusal,ok,37b678dabc39f7e108fa5c56b8b4065b1fa37f79386c4ffa0e7a1cd06c466c54
financebench_id_00540,development,AES Corporation,operational_v3,refusal,refusal,ok,1689813b3f99fed7e3b0d9fd51ae2e6fd300beecc126884e675085bfaa8d387f
financebench_id_00540,new_response_validation,AES Corporation,holistic_v2,incorrect,incorrect,ok,dd2936ccb341d74b106b863f963dc4289eb189cc065e0e2b76883b3569f85371
financebench_id_00540,new_response_validation,AES Corporation,operational_v3,incorrect,incorrect,ok,dd2936ccb341d74b106b863f963dc4289eb189cc065e0e2b76883b3569f85371
financebench_id_00563,development,AMD,holistic_v2,incorrect,refusal,ok,2d42ebd6ad3216d88abb0f05f79b0287a52b6f27773dbe55fa9a7e62ef35a580
financebench_id_00552,development,Microsoft,operational_v3,incorrect,incorrect,ok,37b678dabc39f7e108fa5c56b8b4065b1fa37f79386c4ffa0e7a1cd06c466c54
financebench_id_00552,new_response_validation,Microsoft,holistic_v2,refusal,refusal,ok,6d93fb6187fc6f0ff18a5bffb4392e8760314daa073017141b8138c01f949c2c
financebench_id_00552,new_response_validation,Microsoft,operational_v3,refusal,refusal,ok,6d93fb6187fc6f0ff18a5bffb4392e8760314daa073017141b8138c01f949c2c
financebench_id_00566,development,Verizon,holistic_v2,correct,correct,ok,63acb38897c954211fab38688b19bf3fa18a887cfac6bfe4abfbfa40bb5e85f3
financebench_id_00563,development,AMD,operational_v3,incorrect,incorrect,ok,2d42ebd6ad3216d88abb0f05f79b0287a52b6f27773dbe55fa9a7e62ef35a580
financebench_id_00563,new_response_validation,AMD,holistic_v2,correct,correct,ok,b811b89a4949d689270d4a1f04189caf60ec3870b54388a4fe655c05b021afec
financebench_id_00563,new_response_validation,AMD,operational_v3,correct,correct,ok,b811b89a4949d689270d4a1f04189caf60ec3870b54388a4fe655c05b021afec
financebench_id_00585,development,Boeing,holistic_v2,correct,correct,ok,706289c365363ba3bf165919f27253c9ba85cdd4aec4713f7706519d8bc1c610
financebench_id_00566,development,Verizon,operational_v3,correct,correct,ok,63acb38897c954211fab38688b19bf3fa18a887cfac6bfe4abfbfa40bb5e85f3
financebench_id_00566,new_response_validation,Verizon,holistic_v2,refusal,refusal,ok,47d7bc36a0c03c79266d60e4126f6d215d8a03c35fd738d433bb284416b32a4d
financebench_id_00566,new_response_validation,Verizon,operational_v3,refusal,refusal,ok,47d7bc36a0c03c79266d60e4126f6d215d8a03c35fd738d433bb284416b32a4d
financebench_id_00591,development,Adobe,holistic_v2,refusal,refusal,ok,4db3b699625bfd47eb0b5dc4a193c594ed53e367c2ae160f2e69ddd9294f9b60
financebench_id_00585,development,Boeing,operational_v3,correct,correct,ok,706289c365363ba3bf165919f27253c9ba85cdd4aec4713f7706519d8bc1c610
financebench_id_00585,new_response_validation,Boeing,holistic_v2,refusal,refusal,ok,2492fc7fca57f701ce7c1931a2fa9a416b180d6675339e968aae4b3cde1e7ed3
financebench_id_00585,new_response_validation,Boeing,operational_v3,refusal,refusal,ok,2492fc7fca57f701ce7c1931a2fa9a416b180d6675339e968aae4b3cde1e7ed3
financebench_id_00601,development,Ulta Beauty,holistic_v2,correct,correct,ok,4aceffecb5fa45f2c5b7949e517adae1d9792b768c2dd93ca351b76fab538ce6
financebench_id_00591,development,Adobe,operational_v3,refusal,refusal,ok,4db3b699625bfd47eb0b5dc4a193c594ed53e367c2ae160f2e69ddd9294f9b60
financebench_id_00591,new_response_validation,Adobe,holistic_v2,correct,correct,ok,6e3ca12abfedebaef6e22186869fc035c0799a605430f3367a449857b9ef43d3
financebench_id_00591,new_response_validation,Adobe,operational_v3,correct,correct,ok,6e3ca12abfedebaef6e22186869fc035c0799a605430f3367a449857b9ef43d3
financebench_id_00603,development,Ulta Beauty,holistic_v2,correct,correct,ok,a7fe6a3a54865003dac67b41517b4809c3ced794a003f0ece733588183d8fc66
financebench_id_00601,development,Ulta Beauty,operational_v3,correct,correct,ok,4aceffecb5fa45f2c5b7949e517adae1d9792b768c2dd93ca351b76fab538ce6
financebench_id_00601,new_response_validation,Ulta Beauty,holistic_v2,correct,correct,ok,3c68f29a1d4520c3f5f6dd1e7f7f9e91eb8228ed4ffc7b37ff2971b1f989f551
financebench_id_00601,new_response_validation,Ulta Beauty,operational_v3,correct,correct,ok,3c68f29a1d4520c3f5f6dd1e7f7f9e91eb8228ed4ffc7b37ff2971b1f989f551
financebench_id_00605,development,Ulta Beauty,holistic_v2,refusal,refusal,ok,0af0347d9a3a94d7e9490555d37b4df28bb29423f7324f560cffe3224fce85b6
financebench_id_00603,development,Ulta Beauty,operational_v3,correct,correct,ok,a7fe6a3a54865003dac67b41517b4809c3ced794a003f0ece733588183d8fc66
financebench_id_00603,new_response_validation,Ulta Beauty,holistic_v2,refusal,refusal,ok,7074f511777b42b9176b2089130b44cb77ecdb487d94be0a1c234730531d09cc
financebench_id_00603,new_response_validation,Ulta Beauty,operational_v3,refusal,refusal,ok,7074f511777b42b9176b2089130b44cb77ecdb487d94be0a1c234730531d09cc
financebench_id_00606,development,Ulta Beauty,holistic_v2,incorrect,incorrect,ok,436e091b4702e44bc598e708a2f4a2ebe39dc7c46f24fe974ec18e0b8109c502
financebench_id_00605,development,Ulta Beauty,operational_v3,refusal,refusal,ok,0af0347d9a3a94d7e9490555d37b4df28bb29423f7324f560cffe3224fce85b6
financebench_id_00605,new_response_validation,Ulta Beauty,holistic_v2,incorrect,refusal,ok,6d63ca4f3ad653d5e7b266be832afdca2857c7ba24eb260c136e8bc58d0f4b10
financebench_id_00605,new_response_validation,Ulta Beauty,operational_v3,incorrect,refusal,ok,6d63ca4f3ad653d5e7b266be832afdca2857c7ba24eb260c136e8bc58d0f4b10
financebench_id_00651,development,Johnson & Johnson,holistic_v2,correct,correct,ok,602f5c146b75a40e08afd8d486c1a1d227c24b2cb7905e00989204e87b67d4d9
financebench_id_00606,development,Ulta Beauty,operational_v3,incorrect,incorrect,ok,436e091b4702e44bc598e708a2f4a2ebe39dc7c46f24fe974ec18e0b8109c502
financebench_id_00606,new_response_validation,Ulta Beauty,holistic_v2,correct,correct,ok,fa9523ff72bb2d61d00d6d5fe528b0e959ccfe38d5c1a38556205d16287604a4
financebench_id_00606,new_response_validation,Ulta Beauty,operational_v3,correct,correct,ok,fa9523ff72bb2d61d00d6d5fe528b0e959ccfe38d5c1a38556205d16287604a4
financebench_id_00669,development,Johnson & Johnson,holistic_v2,correct,correct,ok,b99f69ea555a266919e382e01d9ce225a1f9e220802c568df2476fa3c7ee1ea2
financebench_id_00651,development,Johnson & Johnson,operational_v3,correct,correct,ok,602f5c146b75a40e08afd8d486c1a1d227c24b2cb7905e00989204e87b67d4d9
financebench_id_00651,new_response_validation,Johnson & Johnson,holistic_v2,incorrect,incorrect,ok,862ed710bd86636bdf6b238483f8312a8d10c7fb37b7ed4e01d836f89a5ced6a
financebench_id_00651,new_response_validation,Johnson & Johnson,operational_v3,incorrect,incorrect,ok,862ed710bd86636bdf6b238483f8312a8d10c7fb37b7ed4e01d836f89a5ced6a
financebench_id_00678,development,Boeing,holistic_v2,incorrect,refusal,ok,1051de6161bb15d27de792bd20bed02746380ea6075d32d13a3cafe78cca5218
financebench_id_00669,development,Johnson & Johnson,operational_v3,correct,correct,ok,b99f69ea555a266919e382e01d9ce225a1f9e220802c568df2476fa3c7ee1ea2
financebench_id_00669,new_response_validation,Johnson & Johnson,holistic_v2,refusal,refusal,ok,ae3063cac14af66a717a3b677cbdae8a27eeca107476b8823b265205b0e5a93b
financebench_id_00669,new_response_validation,Johnson & Johnson,operational_v3,refusal,refusal,ok,ae3063cac14af66a717a3b677cbdae8a27eeca107476b8823b265205b0e5a93b
financebench_id_00684,development,Amcor,holistic_v2,incorrect,incorrect,ok,878a6fa7d936484bfb7751d9f59e05a0dee1915a159f543059874d1ff5e2233d
financebench_id_00678,development,Boeing,operational_v3,incorrect,incorrect,ok,1051de6161bb15d27de792bd20bed02746380ea6075d32d13a3cafe78cca5218
financebench_id_00678,new_response_validation,Boeing,holistic_v2,correct,correct,ok,7ba718721c8ea26d0fd3d6ddb5ac8d57754212104af5e5527c66af211fc12181
financebench_id_00678,new_response_validation,Boeing,operational_v3,correct,correct,ok,7ba718721c8ea26d0fd3d6ddb5ac8d57754212104af5e5527c66af211fc12181
financebench_id_00685,development,Best Buy,holistic_v2,correct,correct,ok,a0c3b0bb5cf49df13b12b7ec3c00810033beee9679dc67155682e172a0a405f0
financebench_id_00684,development,Amcor,operational_v3,incorrect,incorrect,ok,878a6fa7d936484bfb7751d9f59e05a0dee1915a159f543059874d1ff5e2233d
financebench_id_00684,new_response_validation,Amcor,holistic_v2,refusal,refusal,ok,628bf7d849f78265a45206d1af41ab44b34ac97a2f229959cd1abcd14fef7163
financebench_id_00684,new_response_validation,Amcor,operational_v3,refusal,incorrect,ok,628bf7d849f78265a45206d1af41ab44b34ac97a2f229959cd1abcd14fef7163
financebench_id_00702,development,Pfizer,holistic_v2,incorrect,incorrect,ok,264828c5c7d1bf6ad3f4d6648e761d33d97897944e6e1770e428a17b6aa9465b
financebench_id_00685,new_response_validation,Best Buy,holistic_v2,correct,correct,ok,bd06ee103488c963ef50ffc88bc5ef29252a4cf6803d01b0b87534131db8fe8d
financebench_id_00685,development,Best Buy,operational_v3,correct,incorrect,ok,a0c3b0bb5cf49df13b12b7ec3c00810033beee9679dc67155682e172a0a405f0
financebench_id_00685,new_response_validation,Best Buy,operational_v3,correct,correct,ok,bd06ee103488c963ef50ffc88bc5ef29252a4cf6803d01b0b87534131db8fe8d
financebench_id_00705,development,PepsiCo,holistic_v2,correct,correct,ok,6b7fbe1d2930dd93b7630bb1fa36a5c25efec8bef1813877ef06595fa48173a5
financebench_id_00702,development,Pfizer,operational_v3,incorrect,incorrect,ok,264828c5c7d1bf6ad3f4d6648e761d33d97897944e6e1770e428a17b6aa9465b
financebench_id_00702,new_response_validation,Pfizer,holistic_v2,refusal,correct,ok,d05b765423b9bf889466a4e1c61565b0c8d56b06f0af17ac5664d4325c87320a
financebench_id_00702,new_response_validation,Pfizer,operational_v3,refusal,correct,ok,d05b765423b9bf889466a4e1c61565b0c8d56b06f0af17ac5664d4325c87320a
financebench_id_00711,development,Johnson & Johnson,holistic_v2,refusal,refusal,ok,0f8f3e2d12b79790b385f7a1e77bd975f4bd8192d4256c1dea8a3118f12f8c42
financebench_id_00705,development,PepsiCo,operational_v3,correct,correct,ok,6b7fbe1d2930dd93b7630bb1fa36a5c25efec8bef1813877ef06595fa48173a5
financebench_id_00705,new_response_validation,PepsiCo,holistic_v2,correct,correct,ok,f2e46ad5714a4316d6eca99c89a7364b7723f548b79a628681726edb8b1c663f
financebench_id_00705,new_response_validation,PepsiCo,operational_v3,correct,correct,ok,f2e46ad5714a4316d6eca99c89a7364b7723f548b79a628681726edb8b1c663f
financebench_id_00720,development,American Express,holistic_v2,refusal,refusal,ok,36c7be23558c700c1447ce1939e6f34aec43492628f3703eb6a35e4fcc142bce
financebench_id_00711,development,Johnson & Johnson,operational_v3,refusal,refusal,ok,0f8f3e2d12b79790b385f7a1e77bd975f4bd8192d4256c1dea8a3118f12f8c42
financebench_id_00711,new_response_validation,Johnson & Johnson,holistic_v2,refusal,refusal,ok,fe934bfc3b411983c18823f0567fefe31848098462302fd0bdb6e8cd9d693441
financebench_id_00711,new_response_validation,Johnson & Johnson,operational_v3,refusal,refusal,ok,fe934bfc3b411983c18823f0567fefe31848098462302fd0bdb6e8cd9d693441
financebench_id_00723,development,American Express,holistic_v2,incorrect,incorrect,ok,acc416c68ce21171529d38f9f00d1ada0e6a2c1f12f7997604527878e31c8389
financebench_id_00720,development,American Express,operational_v3,refusal,refusal,ok,36c7be23558c700c1447ce1939e6f34aec43492628f3703eb6a35e4fcc142bce
financebench_id_00720,new_response_validation,American Express,holistic_v2,refusal,refusal,ok,678c992c3b6daf3fe65a7e7bb317cde3ca5c42477a5f68e439aed0a54321b742
financebench_id_00720,new_response_validation,American Express,operational_v3,refusal,refusal,ok,678c992c3b6daf3fe65a7e7bb317cde3ca5c42477a5f68e439aed0a54321b742
financebench_id_00724,development,Pfizer,holistic_v2,refusal,refusal,ok,f8835ad8b841dda2e2f6210e8af669268cc6077bb94fac6df1ea8b59a4aae8f0
financebench_id_00723,development,American Express,operational_v3,incorrect,incorrect,ok,acc416c68ce21171529d38f9f00d1ada0e6a2c1f12f7997604527878e31c8389
financebench_id_00723,new_response_validation,American Express,holistic_v2,incorrect,refusal,ok,a80159c0702da94e382ce3a66b1b1ed4e1fc1be52a7871f3da96e97224f2ed1a
financebench_id_00723,new_response_validation,American Express,operational_v3,incorrect,incorrect,ok,a80159c0702da94e382ce3a66b1b1ed4e1fc1be52a7871f3da96e97224f2ed1a
financebench_id_00735,development,PepsiCo,holistic_v2,refusal,refusal,ok,6dc4b742fb6ef6ac1c15a8eac7cb09c51dd6c9ad0b113e6ea44d3613eed83d82
financebench_id_00724,development,Pfizer,operational_v3,refusal,refusal,ok,f8835ad8b841dda2e2f6210e8af669268cc6077bb94fac6df1ea8b59a4aae8f0
financebench_id_00724,new_response_validation,Pfizer,holistic_v2,correct,correct,ok,8220688e281e6a469b370a39af53f12bf14ddce29f90db379ee61deec38c30b4
financebench_id_00724,new_response_validation,Pfizer,operational_v3,correct,correct,ok,8220688e281e6a469b370a39af53f12bf14ddce29f90db379ee61deec38c30b4
